date	toll	publisher	title	origin
2023-12-11	18400	anadolu agency | english	gaza death toll from israeli attacks surpasses 18400 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtznjvbs1pc3jhzwxplwf0dgfja3mtc3vycgfzc2vzlte4ltqwmc8zmdgwnjm40gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-12	18600	anadolu agency | english	gaza death toll tops 18600 as israeli attacks continue - anadolu agency | english	https://news.google.com/rss/articles/cbmizgh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtdg9wcy0xoc02mdatyxmtaxnyywvsas1hdhrhy2tzlwnvbnrpbnvllzmwode1njbsaqa?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-13	18800	anadolu agency | english	gaza death toll from israeli attacks nears 18800 - anadolu agency | english	https://news.google.com/rss/articles/cbmixmh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtznjvbs1pc3jhzwxplwf0dgfja3mtbmvhcnmtmtgtodawlzmwodi2odfsaqa?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-14	18800	anadolu agency | english	death toll from ongoing israeli onslaught on gaza rises to 18800 - anadolu agency | english	https://news.google.com/rss/articles/cbmibmh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9kzwf0ac10b2xslwzyb20tb25nb2luzy1pc3jhzwxplw9uc2xhdwdodc1vbi1nyxphlxjpc2vzlxrvlte4ltgwmc8zmdgzotyy0gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-17	20000	nbc news	pressure mounts to scale back war as gaza death toll nears 20000 - nbc news	https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-gaza-death-toll-pressure-lloyd-austin-rcna130202
2023-12-17	19400	anadolu agency | english	gaza death toll surpasses 19400 amid ongoing israeli attacks - anadolu agency | english	https://news.google.com/rss/articles/cbmiamh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtc3vycgfzc2vzlte5ltqwmc1hbwlklw9uz29pbmctaxnyywvsas1hdhrhy2tzlzmwodyxothsaqa?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-18	20000	the guardian	palestinian death toll in gaza nears 20000 with nearly 2 million people displaced - the guardian	https://www.theguardian.com/world/2023/dec/19/palestinian-casualties-in-gaza-near-20000-with-nearly-2m-people-displaced
2023-12-19	20000	al jazeera english	israel-hamas war updates: death toll in gaza hits 20000 as fighting rages - al jazeera english	https://www.aljazeera.com/news/liveblog/2023/12/20/israel-hamas-war-live-israel-kills-around-100-palestinians-in-one-day
2023-12-19	20000	al jazeera english	gaza death toll surpasses 20000 as un security council delays vote on aid - al jazeera english	https://www.aljazeera.com/news/2023/12/20/gaza-death-toll-surpasses-20000-as-un-security-council-delays-vote-on-aid
2023-12-21	20000	pbs newshour	as israel expands ground war against hamas gaza death toll exceeds 20000 - pbs newshour	https://www.pbs.org/newshour/world/as-israel-expands-ground-war-against-hamas-gaza-death-toll-exceeds-20000
2023-12-21	20000	the associated press	israel-hamas war: gaza death toll exceeds 20000 - the associated press	https://apnews.com/article/israel-hamas-war-news-12-22-2023-7453c6f92d74eb1e12e506489031b91b
2023-12-21	20000	cbs news	palestinian death toll tops 20000 in israel-hamas war gaza officials say - cbs news	https://www.cbsnews.com/news/israel-hamas-war-gaza-palestinian-death-toll-20000/
2023-12-21	20000	financial times	gaza death toll tops 20000 as un drops call to end fighting - financial times	https://www.ft.com/content/488f70b7-d6cc-458d-b90e-f89cdfd65ec2
2023-12-24	106	pbs newshour	death toll from israeli airstrike in central gaza rises to 106 palestinian officials say - pbs newshour	https://www.pbs.org/newshour/world/death-toll-from-israeli-airstrike-in-central-gaza-rises-to-106-palestinian-officials-say
2023-12-24	20700	anadolu agency | english	gaza death toll nears 20700 amid continuing israeli onslaught - anadolu agency | english	https://news.google.com/rss/articles/cbmia2h0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtbmvhcnmtmjatnzawlwftawqty29udgludwluzy1pc3jhzwxplw9uc2xhdwdodc8zmdkymtu50gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-12-25	21000	al jazeera english	israel-hamas war updates: death toll nears 21000 in gaza | israel-palestine conflict news - al jazeera english	https://www.aljazeera.com/news/liveblog/2023/12/26/israel-hamas-war-live-no-respite-for-gaza-as-israeli-attacks-continue
2023-12-31	21978	anadolu agency | english	death toll in gaza from ongoing israeli war surges to 21978 - anadolu agency | english	https://news.google.com/rss/articles/cbmiawh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9kzwf0ac10b2xslwlulwdhemetznjvbs1vbmdvaw5nlwlzcmflbgktd2fylxn1cmdlcy10by0yms05nzgvmza5nzu3odibaa?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-01	22000	al jazeera english	israel maintains onslaught as gaza death toll tops 22000 - al jazeera english	https://www.aljazeera.com/news/2024/1/2/israeli-bombardment-ongoing-as-death-toll-surpasses-22000
2024-01-01	22000	the guardian	gaza death toll passes 22000 as israel steps up war against hamas - the guardian	https://www.theguardian.com/world/2024/jan/02/gaza-death-toll-passes-22000-as-israel-steps-up-war-against-hamas
2024-01-03	22400	anadolu agency | english	gaza death toll surpasses 22400 from israeli onslaught - anadolu agency | english	https://news.google.com/rss/articles/cbmizgh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtc3vycgfzc2vzltiyltqwmc1mcm9tlwlzcmflbgktb25zbgf1z2h0lzmxmda0ndpsaqa?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-06	109	anadolu agency | english	2 more journalists killed in gaza pushing up death toll since oct. 7 to 109 - anadolu agency | english	https://news.google.com/rss/articles/cbmid2h0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc8ylw1vcmutam91cm5hbglzdhmta2lsbgvklwlulwdhemetchvzagluzy11cc1kzwf0ac10b2xslxnpbmnllw9jdc03lxrvltewos8zmtaymzy20gea?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-07	20000	the new york times	gaza death toll nears 20000 during israel-hamas war - the new york times	https://www.nytimes.com/2023/12/21/world/middleeast/gaza-death-toll-palestinians.html
2024-01-07	23000	anadolu agency | english	gaza death toll from israeli onslaught exceeds 23000 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlwrlyxrolxrvbgwtznjvbs1pc3jhzwxplw9uc2xhdwdodc1legnlzwrzltizltawmc8zmtazmzm30gea?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-08	23210	anadolu agency | english	death toll in israeli attacks on gaza rises to 23210 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9kzwf0ac10b2xslwlulwlzcmflbgktyxr0ywnrcy1vbi1nyxphlxjpc2vzlxrvltizltixmc8zmtazotk40gea?oc=5&hl=en-us&gl=us&ceid=us:en
